"plot","code","species","spha","forest","aoi","loc","treated"
109004,"QUKE","Black oak",60,"Stanislaus","Stanislaus - Mi-Wok","South Fork","Yes"
109005,"CADE","Incense cedar",120,"Stanislaus","Stanislaus - Mi-Wok","South Fork","Yes"
109007,"ABCO","White fir",120,"Stanislaus","Stanislaus - Mi-Wok","South Fork","Yes"
109008,"ABCO","White fir",802,"Stanislaus","Stanislaus - Mi-Wok","South Fork","Yes"
109008,"CADE","Incense cedar",1043,"Stanislaus","Stanislaus - Mi-Wok","South Fork","Yes"
109008,"QUKE","Black oak",80,"Stanislaus","Stanislaus - Mi-Wok","South Fork","Yes"
109009,"ABCO","White fir",241,"Stanislaus","Stanislaus - Mi-Wok","South Fork","Yes"
109009,"CADE","Incense cedar",160,"Stanislaus","Stanislaus - Mi-Wok","South Fork","Yes"
109009,"QUKE","Black oak",60,"Stanislaus","Stanislaus - Mi-Wok","South Fork","Yes"
109010,"CADE","Incense cedar",40,"Stanislaus","Stanislaus - Mi-Wok","South Fork","Yes"
109010,"QUKE","Black oak",60,"Stanislaus","Stanislaus - Mi-Wok","South Fork","Yes"
155101,"ABCO","White fir",40,"Sierra","Sierra - Bass Lake","Granddad","Yes"
155101,"CADE","Incense cedar",80,"Sierra","Sierra - Bass Lake","Granddad","Yes"
155101,"PILA","Sugar pine",20,"Sierra","Sierra - Bass Lake","Granddad","Yes"
155101,"QUCH","Canyon live oak",100,"Sierra","Sierra - Bass Lake","Granddad","Yes"
155101,"QUKE","Black oak",60,"Sierra","Sierra - Bass Lake","Granddad","Yes"
155102,"ABCO","White fir",20,"Sierra","Sierra - Bass Lake","Granddad","Yes"
155102,"CADE","Incense cedar",40,"Sierra","Sierra - Bass Lake","Granddad","Yes"
155102,"PILA","Sugar pine",60,"Sierra","Sierra - Bass Lake","Granddad","Yes"
155102,"QUCH","Canyon live oak",20,"Sierra","Sierra - Bass Lake","Granddad","Yes"
