"ID","PlotName","LiveOverstory","DeadOverstory","HerbCover","Cheatgrass","Shrubspp","ShrubCover","Hardwoodspp","HardwoodCov","Conifer_UnderstoryCov","BasalVeg","BareGround","Rock","Litter","WoodyDebris","Total","Notes"
1,155101.00,10.00,10.00,25.00,0.00,"ARVI4","4","QUCH",2.00,8.00,1.00,0.50,0.00,93.50,5.00,100.00,
2,155102.00,20.00,10.00,20.00,0.00,"ARVI4","1","QUKE",20.00,5.00,1.00,0.50,0.00,93.50,5.00,100.00,"5% hardwood in understory"
3,155103.00,8.00,6.00,2.00,0.00,"ARVI4","0.5","QUKE",4.00,1.00,1.00,0.50,0.00,97.50,1.00,100.00,"4% overstory, additional 3 understory"
4,155104.00,22.00,5.00,3.00,0.00,"ARVI4","0.5","QUKE",1.00,2.00,1.00,0.50,0.50,83.00,15.00,100.00,
5,155105.00,15.00,25.00,5.00,0.00,"ARVI4","0.5","QUKE",10.00,0.50,1.00,0.50,0.00,98.00,0.50,100.00,
6,155106.00,15.00,10.00,4.00,0.00,"None","NA","QUCH",0.50,0.50,1.00,0.00,0.00,98.50,0.50,100.00,
7,155107.00,7.00,4.00,30.00,0.00,"ARVI4","0.5","QUCH",0.50,2.00,0.50,0.50,0.50,86.50,12.00,100.00,
8,155108.00,20.00,8.00,0.50,0.00,"RIRO","0.5","QUCH",0.50,1.00,2.00,0.00,0.00,92.00,6.00,100.00,"RIRO= Ribes roezlii"
9,1510206.00,10.00,6.00,0.50,0.00,"NA","0","QUKE",2.00,13.00,0.50,0.50,0.50,98.00,0.50,100.00,
10,1510207.00,55.00,5.00,0.50,0.00,"NA","0","QUCH",0.50,15.00,2.00,0.00,0.50,89.50,8.00,100.00,
11,1510210.00,15.00,30.00,0.50,0.00,"SYMO","0.5","QUCH",0.50,6.00,1.00,0.00,1.00,97.00,1.00,100.00,
12,155111.00,5.00,5.00,1.00,0.00,"SYMO","6","QUKE",1.00,25.00,1.00,0.50,0.50,97.00,1.00,100.00,
13,155112.00,30.00,15.00,0.50,0.00,"CEIN","1","QUKE",1.00,45.00,1.00,0.50,0.50,90.00,8.00,100.00,
