Plot Name,Location,Sapling_Seedling,SaplingSpeciesCode,Status,Count,Treated
1510207,Nelder Grove,Seedling,PILA,L,2,N
1510207,Nelder Grove,Sapling,CADE,D,7,N
1510207,Nelder Grove,Seedling,CADE,L,3,N
1510207,Nelder Grove,Sapling,ABCO,D,3,N
1510207,Nelder Grove,Seedling,QUKE,L,2,N
1510207,Nelder Grove,Seedling,QUCH,L,2,N
1510207,Nelder Grove,Sapling,ABCO,L,4,N
1510210,Granddad,Sapling,QUCH,L,1,N
1510210,Granddad,Seedling,CADE,L,1,N
1510210,Granddad,Seedling,ABCO,L,8,N
1510210,Granddad,Seedling,PILA,L,1,N
1510210,Granddad,Sapling,CADE,D,9,N
1510210,Granddad,Sapling,QUKE,L,1,N
1510210,Granddad,Sapling,ABCO,L,3,N
1510210,Granddad,Sapling,CADE,L,6,N
155111,Granddad,Sapling,PILA,L,15,N
155111,Granddad,Sapling,CADE,L,22,N
155111,Granddad,Seedling,ABCO,L,46,N
155111,Granddad,Sapling,QUCH,L,2,N
155111,Granddad,Sapling,ABCO,L,3,N
155111,Granddad,Sapling,CADE,D,3,N
155111,Granddad,Seedling,PILA,D,1,N
155111,Granddad,Seedling,PILA,L,2,N
155111,Granddad,Seedling,QUCH,L,3,N
155111,Granddad,Seedling,CADE,D,1,N
155111,Granddad,Seedling,CADE,L,54,N
155111,Granddad,Seedling,ABCO,D,4,N
155111,Granddad,Sapling,ABCO,D,2,N
155112,Granddad,Sapling,ABCO,D,17,N
155112,Granddad,Sapling,QUKE,L,3,N
155112,Granddad,Sapling,PILA,L,2,N
155112,Granddad,Sapling,QUCH,L,5,N
155112,Granddad,Sapling,QUCH,D,1,N
155112,Granddad,Sapling,CADE,D,18,N
155112,Granddad,Sapling,CADE,L,35,N
155112,Granddad,Sapling,ABCO,L,58,N
155112,Granddad,Seedling,CONU,L,1,N
155112,Granddad,Seedling,CADE,D,2,N
155112,Granddad,Seedling,PIPO,L,1,N
155112,Granddad,Seedling,ABCO,L,40,N
155112,Granddad,Seedling,QUCH,L,5,N
155112,Granddad,Seedling,CADE,L,57,N
155112,Granddad,Seedling,ABCO,D,2,N
155113,Granddad,Sapling,CADE,L,4,N
155113,Granddad,Seedling,CADE,L,2,N
155113,Granddad,Seedling,QUCH,L,7,N
155113,Granddad,Seedling,QUKE,L,1,N
155113,Granddad,Seedling,ABCO,D,1,N
155113,Granddad,Sapling,QUCH,L,10,N
155113,Granddad,Sapling,ABCO,D,2,N
155113,Granddad,Sapling,PILA,L,3,N
155113,Granddad,Seedling,ABCO,L,6,N
155115,Granddad,Sapling,CADE,D,7,N
155115,Granddad,Sapling,QUCH,D,1,N
155115,Granddad,Sapling,CADE,L,22,N
155115,Granddad,Sapling,QUCH,L,8,N
155115,Granddad,Seedling,CADE,L,4,N
155115,Granddad,Seedling,QUCH,L,14,N
155115,Granddad,Seedling,QUKE,L,6,N
155114,Granddad,Seedling,QUCH,L,4,N
155114,Granddad,Sapling,CADE,D,16,N
155114,Granddad,Seedling,CADE,L,4,N
155114,Granddad,Seedling,CADE,D,2,N
155114,Granddad,Sapling,PIPO,L,4,N
155114,Granddad,Sapling,QUCH,L,10,N
155114,Granddad,Sapling,QUCH,D,1,N
155114,Granddad,Sapling,ABCO,L,1,N
155114,Granddad,Seedling,QUKE,L,8,N
155114,Granddad,Sapling,ABCO,D,2,N
155131,Pine Grove,Sapling,UNKNHARDWOOD,D,6,Y
