"ID","PlotName","Clump_ID","TreeNumber","Species","Status","DBH","LiveCrownPercent","InsectEvidence","InsectLevel","FreshPitch","HealthCode","WitnessTree","Buffer","Notes","dist from plot center","azimuth to plot center","shape","azimuth shape","radius line","radius shape","no of trees","no of buffer trees"
1,155104.00,8.00,10.00,"PIPO","L",52.80,"10","N","0 - No attack","N","None","None","N",,,,,,,,,
2,155104.00,8.00,11.00,"PIPO","D3",13.70,"NA","Y","2 - heavy attack (>5 pitch tubes)","N","NA","None","N",,,,,,,,,
3,155104.00,9.00,12.00,"ABCO","D1",50.60,"NA","Y","1 - light attack (<5 pitch tubes)","Y","NA","None","N",,,,,,,,,
4,155104.00,10.00,13.00,"ABCO","L",40.00,"40","N","0 - No attack","Y","None","None","N",,,,,,,,,
5,155104.00,11.00,14.00,"ABCO","L",37.80,"40","N","0 - No attack","Y","None","W1","N",,,,,,,,,
6,155104.00,12.00,15.00,"ABCO","L",23.90,"10","N","0 - No attack","Y","None","None","N",,,,,,,,,
7,155104.00,4.00,4.00,"CADE","D2",17.70,"NA","Y","1 - light attack (<5 pitch tubes)","NA","NA","None","N",,,,,,,,,
8,155104.00,5.00,5.00,"QUKE","I",58.70,"15","Y","1 - light attack (<5 pitch tubes)","N","Other - include in notes","None","N","large (2m) gash down bole. sawdust present.",,,,,,,,
9,155104.00,5.00,6.00,"QUKE","L",57.80,"20","N","0 - No attack","N","None","None","Y",,,,,,,,,
10,155104.00,5.00,7.00,"CADE","L",13.60,"10","N","0 - No attack","N","None","None","Y",,,,,,,,,
11,155104.00,6.00,8.00,"CADE","L",37.10,"30","N","0 - No attack","N","None","None","N",,,,,,,,,
12,155104.00,7.00,9.00,"CADE","L",23.00,"15","N","0 - No attack","N","None","None","N","hite root rot nearby? See pics",,,,,,,,
13,1510206.00,2.00,5.00,"UNKNCONIFER","D3",107.50,"NA","N","NA","NA","NA","None","N",,,,,,,,,
14,1510206.00,3.00,7.00,"ABCO","D3",27.50,"NA","Y","NA","NA","NA","None","N",,,,,,,,,
15,1510206.00,3.00,6.00,"ABCO","L",10.50,"15","N","0 - No attack","N","None","None","N",,,,,,,,,
16,1510206.00,4.00,8.00,"ABCO","D2",49.60,"NA","Y","NA","NA","NA","None","N",,,,,,,,,
17,1510206.00,5.00,9.00,"ABCO","D3",14.00,"NA","N","NA","NA","NA","None","N",,,,,,,,,
18,1510206.00,6.00,10.00,"ABCO","D3",14.90,"NA","N","NA","NA","NA","None","N",,,,,,,,,
19,1510206.00,6.00,11.00,"CADE","L",72.70,"25","N","0 - No attack","N","None","None","N",,,,,,,,,
20,1510206.00,7.00,12.00,"ABCO","L",33.20,"5","N","0 - No attack","Y","None","W2","N",,,,,,,,,
21,1510206.00,8.00,13.00,"ABCO","D3",69.20,"NA","Y","NA","NA","NA","None","N",,,,,,,,,
22,1510206.00,9.00,14.00,"ABCO","D3",76.80,"NA","Y","NA","NA","NA","None","N",,,,,,,,,
23,1510206.00,10.00,15.00,"QUKE","L",28.00,"8","N","0 - No attack","N","None","None","N",,,,,,,,,
24,1510206.00,11.00,16.00,"PIPO","D3",15.90,"NA","N","NA","NA","NA","None","N",,,,,,,,,
25,1510206.00,12.00,17.00,"ABCO","L",58.40,"15","N","0 - No attack","N","Other - include in notes","None","N","large vertical scar down approx 5 m of bole",,,,,,,,
26,1510206.00,13.00,18.00,"ABCO","D2",26.30,"NA","N","0 - No attack","NA","NA","None","N",,,,,,,,,
27,1510206.00,14.00,19.00,"PIPO","L",56.90,"20","N","0 - No attack","N","None","W1","N",,,,,,,,,
28,1510206.00,15.00,20.00,"QUKE","L",24.40,"20","N","0 - No attack","N","None","None","N","dbh measured above lrg bulge",,,,,,,,
29,1510206.00,16.00,21.00,"PIPO","D3",34.70,"NA","Y","NA","NA","NA","None","N",,,,,,,,,
30,1510206.00,16.00,22.00,"PIPO","L",51.50,"35","N","0 - No attack","N","None","None","N",,,,,,,,,
31,1510206.00,17.00,23.00,"CADE","L",37.10,"35","N","0 - No attack","N","None","None","N",,,,,,,,,
32,1510206.00,17.00,24.00,"ABCO","L",27.60,"20","N","0 - No attack","Y","None","None","N","no signs off hles or dust with pitching",,,,,,,,
