"plot","data","loc"
"108201",NA,1
"1082012",NA,1
"108202",NA,1
"1082022",NA,1
"108203",NA,1
"1082032",NA,1
"108204",NA,1
"1082042",NA,1
"108205",NA,1
"108206",NA,1
"108207",NA,1
"108208",NA,1
"108209",NA,1
"108211",NA,1
"1082122",NA,1
"1082132",NA,1
"1082142",NA,1
"1090012",1,1
"109002",1,1
"1090022",NA,1
"109004",1,1
"1090042",1,1
"109005",1,1
"109006",1,1
"109007",1,1
"109008",1,1
"1090082",1,1
"109009",1,1
"1090092",1,1
"109010",1,1
"109011",NA,1
"1090122",1,1
"1090132",1,1
"109014",NA,1
"1090142",1,1
"1090152",1,1
"121000",NA,1
"122000",NA,1
"123000",NA,1
"124000",NA,1
"125000",NA,1
"126000",NA,1
"127000",NA,1
"128000",NA,1
"129000",NA,1
"130000",NA,1
"131000",NA,1
"132000",NA,1
"133000",NA,1
"134000",NA,1
"135000",NA,1
"136000",NA,1
"137000",NA,1
"138000",NA,1
"139000",NA,1
"140000",NA,1
"1510201",NA,1
"1510202",NA,1
"1510203",NA,1
"1510204",NA,1
"1510205",NA,1
"1510206",1,1
"1510207",1,1
"1510208",NA,1
"1510209",NA,1
"1510210",1,1
"15102212",NA,1
"15102222",NA,1
"15102232",NA,1
"15102252",NA,1
"15102292",NA,1
"15102302",NA,1
"15102362",NA,1
"15102372",NA,1
"15102382",NA,1
"15102392",NA,1
"155101",1,1
"155102",1,1
"155103",1,1
"155104",1,1
"155105",1,1
"155106",1,1
"155107",1,1
"155108",1,1
"155109",NA,1
"155110",NA,1
"155111",1,NA
"1551112",NA,1
"155112",1,NA
"1551122",NA,1
"155113",1,NA
"1551132",NA,1
"155114",1,NA
"1551142",NA,1
"155115",1,NA
"1551152",NA,1
"155131",1,1
"155132",1,1
"155133",1,1
"155134",1,1
"155135",1,1
"155136",1,1
"155137",1,1
"155138",1,1
"155139",NA,1
"155140",NA,1
"155141",1,NA
"1551412",NA,1
"155142",1,NA
"1551422",NA,1
"155143",1,NA
"1551432",NA,1
"155144",1,NA
"1551442",NA,1
"1551452",NA,1
"155146",1,NA
"1551462",NA,1
"155147",1,NA
"1551472",NA,1
"155148",1,NA
"1551482",NA,1
"155149",1,NA
"1551492",NA,1
"1551502",NA,1
"155151",1,1
"155152",1,1
"155153",1,1
"155154",1,1
"155155",1,1
"155156",1,1
